rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
138,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,165,149,190215,2026-06-11,FALSE,27,EDM/Dance
139,spotify:track:6D94p9ASguBcYlDC0o56vx,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,190,139,190083,2026-06-11,FALSE,51,Rap/Hip-hop
140,spotify:track:7fCeYpR02Q8JVuD88hJZVT,"Da LAB, Minh Tốc & Lam",Bầu Trời Mới,Universal Music Indochina Distributed Labels,8,143,88,188170,2026-06-11,FALSE,3,Indie/Alternative
141,spotify:track:5prZw3OHd2UhAq0VBKpqUM,GREY D,mới hôm qua,Umusic Vietnam Co. Ltd. Distributed Labels,34,163,11,187555,2026-06-11,FALSE,22,R&B/Soul
142,spotify:track:5Bti0azlFhMattVY76qFr9,Vũ.,Lạ Lùng,WM Vietnam,17,136,427,186273,2026-06-11,FALSE,-6,Indie/Alternative
143,spotify:track:6TGwaBlfUGVoeZMBLzvXGP,"Dangrangto, DONAL",thế giới của anh,Higher Dimension,50,161,19,185977,2026-06-11,FALSE,18,Indie/Alternative
144,spotify:track:7diH1qnFziArYzynk3vkr6,CORTIS,TNT,Republic Records – CORTIS,27,122,6,185529,2026-06-11,FALSE,-22,Pop
145,spotify:track:55K3e7BGewGDUJ4ZQwkh7M,Only C,Người Đáng Thương Là Anh,OnlyC Production,131,151,21,184328,2026-06-11,FALSE,6,Ballad
146,spotify:track:5BJqg07SKgmFnVLOBmLFvq,Bùi Anh Tuấn,"Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""",1LABEL,109,191,60,182392,2026-06-11,FALSE,45,Ballad
147,spotify:track:3ZbZtdEw9U0uZW4tZItIwq,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,131,124,182315,2026-06-11,FALSE,-16,Rap/Hip-hop
148,spotify:track:5U30iZBlmxkpHqzb1OSnBS,Rhymastic,Yêu 5,WM Vietnam,77,108,227,182310,2026-06-11,FALSE,-40,R&B/Soul
149,spotify:track:6OWWZtNQORY1McaZmOrwhc,CORTIS,GO!,Republic Records – CORTIS,82,167,29,182134,2026-06-11,FALSE,18,Pop
150,spotify:track:3bmpXHVie1GTy37OkXJ7Vc,BTS,2.0,BIGHIT MUSIC,11,126,12,182034,2026-06-11,FALSE,-24,Rap/Hip-hop
151,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,174,155,181966,2026-06-11,FALSE,23,R&B/Soul
152,spotify:track:3OVMe3H6iAxbLF8iD2UYrw,Sơn Tùng M-TP,Chúng Ta Của Tương Lai,Umusic Vietnam Co. Ltd. Distributed Labels,1,178,83,181483,2026-06-11,FALSE,26,Pop
153,spotify:track:3b34161QoxLwsqhWSPy9i5,Da LAB,Thanh Xuân,Sony Music Entertainment,1,115,404,180801,2026-06-11,FALSE,-38,Indie/Alternative
154,spotify:track:3H6nzsPNMttEvUl3ai3xN8,Chillies,Vùng Ký Ức,WM Vietnam,1,176,132,180673,2026-06-11,FALSE,22,Indie/Alternative
155,spotify:track:6KIhgRkprgyJNERRMu7Quh,MIN,Có Em Chờ,MIN,117,137,57,179980,2026-06-11,FALSE,-18,Pop
156,spotify:track:3UJ2gSPFPSkPKZghRI8y1e,Dangrangto,Love is,MaiDao Music,10,160,85,179341,2026-06-11,FALSE,4,Indie/Alternative
157,spotify:track:0hB27T4dy9qBUcZabsrLOj,HIEUTHUHAI,Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết,M Music Records,16,133,7,179019,2026-06-11,FALSE,-24,Rap/Hip-hop
158,spotify:track:48MtqfQw716EZaNzOKNnuR,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,8,159,144,176388,2026-06-11,FALSE,1,Rap/Hip-hop
159,spotify:track:6su7ekPw5AAIU2OUCvos6S,"B Ray, AMEE",Ex's Hate Me,B Ray,129,153,32,175921,2026-06-11,FALSE,-6,Rap/Hip-hop
160,spotify:track:3gLRyMbg5nWLcuKD46Uz72,Phương Ly,Anh Là Ai,PHUONG LY,109,148,37,175709,2026-06-11,FALSE,-12,Pop
161,spotify:track:20dAJsyno9ZoBLJtqgQnUI,BTS,Hooligan,BIGHIT MUSIC,8,138,12,175647,2026-06-11,FALSE,-23,Pop
162,spotify:track:3COYA2vgfcUhDyRlVpZy5p,"tlinh, Low G",PHÓNG ZÌN ZÌN,M Music Records,4,180,90,173972,2026-06-11,FALSE,18,Rap/Hip-hop
163,spotify:track:2vtPL1AUtpBiRocmWpfwzB,Đinh Mạnh Ninh,Dù có cách xa,1412266 Records DK,163,-1,1,173921,2026-06-11,TRUE,NaN,Ballad
164,spotify:track:1MAmEpLRV1JKdafGcZ6jdY,Phan Mạnh Quỳnh,Xuân Thì,Yin Yang Media,158,158,2,171429,2026-06-11,FALSE,-6,Ballad
165,spotify:track:0jHpGB1Xt2kIX0VaPFvStp,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,195,149,171021,2026-06-11,FALSE,30,Rap/Hip-hop
166,spotify:track:5r6Rae4kq7CikBuoTaj6RF,Tóc Tiên,người còn thương em không,Umusic Vietnam Co. Ltd. Distributed Labels,166,-1,1,170690,2026-06-11,TRUE,NaN,Pop
167,spotify:track:0KA8tBqZ81mBe2po59GK5j,Đỗ Hoàng Long,Trạng Thái Mộng Mơ,Umusic Vietnam Co. Ltd. Distributed Labels,92,166,16,169732,2026-06-11,FALSE,-1,Indie/Alternative
168,spotify:track:3y66li7DIrH7HLKIZzxR5H,Kai Đinh,Lễ Đường,Yin Yang Media,3,164,65,169661,2026-06-11,FALSE,-4,Ballad
169,spotify:track:1FUdEz4fX1DxPcVAARlu6A,GREY D,yêu em như…,Umusic Vietnam Co. Ltd. Distributed Labels,13,175,11,168826,2026-06-11,FALSE,6,R&B/Soul
170,spotify:track:2GE2p2dFpxp7OIz2QOFBzW,"ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",Anh Trai Say Hi,5,155,85,165520,2026-06-11,FALSE,-15,Rap/Hip-hop
171,spotify:track:7HoAJ6Hc1P91eoOrn1WY5d,"Đức Trường, BMZ, Kun",Đáng Lý Ra Phải Là Anh,BMZ,90,179,26,165463,2026-06-11,FALSE,8,Ballad
172,spotify:track:42i1d7gos5WvqZIFWCfE7E,Ngô Lan Hương,"Có công mài ""Sắc""",Ngô Lan Hương Exclusive,85,-1,8,165061,2026-06-11,TRUE,NaN,Pop
173,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,21,168,205,164989,2026-06-11,FALSE,-5,R&B/Soul
174,spotify:track:55Eo6NDkVhSRBonrT16kXM,"Cloud 5, Dangrangto",Đến Đây Bên Anh,Yin Yang Media,66,-1,60,164677,2026-06-11,TRUE,NaN,Indie/Alternative
175,spotify:track:50cmxP6KlnQA9IG3q5ckKD,Chillies,Mascara,WM Vietnam,3,196,229,163572,2026-06-11,FALSE,21,Indie/Alternative
176,spotify:track:4N99EuIjwSSFFFMDfTeOLU,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,62,146,188,163234,2026-06-11,FALSE,-30,Indie/Alternative
177,spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz,CORTIS,FaSHioN,Republic Records – CORTIS,90,187,27,163169,2026-06-11,FALSE,10,Pop
178,spotify:track:2uxjHthUJd2A8PmWaUGGsI,"Hoàng Dũng, Hoàng Rob",Chờ Anh Nhé,Lirico Entertainment,99,183,52,163072,2026-06-11,FALSE,5,Indie/Alternative
179,spotify:track:56LSZ1PFm7nOo734RfbEDo,RHYDER,TIẾC CHO EM,RHYDER ENTERTAINMENT,27,-1,20,162541,2026-06-11,TRUE,NaN,Pop
180,spotify:track:4Iz5EWPCAT8jYNk4IpLoll,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,135,272,161749,2026-06-11,FALSE,-45,Indie/Alternative
181,spotify:track:6UFvSmKzCZ16fxsybf4PhE,"Nguyễn Trọng Tài, Don Raemo, Double X",HONGKONG1,T2B Media,150,-1,14,161326,2026-06-11,TRUE,NaN,Indie/Alternative
182,spotify:track:1wbBii1kJbBnMr35bOo5gv,"Kiều Chi, Zeko Remix",Sau Này Em Cưới Ai Rồi - Zeko Remix,H2O Music,182,-1,1,161001,2026-06-11,TRUE,NaN,EDM/Dance
183,spotify:track:5dg4e5942EFejbNzdWEnmN,"VƯƠNG BÌNH, Thùy Chi",Thanh Tân - song ca Thùy Chi,Umusic Vietnam Co. Ltd. Distributed Labels,183,-1,1,160889,2026-06-11,TRUE,NaN,R&B/Soul
184,spotify:track:6epn3r7S14KUqlReYr77hA,"Justin Bieber, Ludacris",Baby,RBMG/Def Jam,27,184,9,160702,2026-06-11,FALSE,0,Pop
185,spotify:track:5oFEvbM7lGnx8jfAkuhVyo,"AMEE, RPT MCK",MỘNG YU,Yin Yang Media,3,189,79,160571,2026-06-11,FALSE,4,R&B/Soul
186,spotify:track:4qYfRfSxsmhJ1WMaywtLyI,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,-1,124,160514,2026-06-11,TRUE,NaN,R&B/Soul
187,spotify:track:7kgzRBNkBRArtTPkYjWLYT,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,188,264,159995,2026-06-11,FALSE,1,Ballad
188,spotify:track:08ULi904W2Po6pVj8nN7KC,"GREY D, Chillies",đưa em về nhàa,Umusic Vietnam Co. Ltd. Distributed Labels,3,-1,160,159151,2026-06-11,TRUE,NaN,R&B/Soul
189,spotify:track:4SqE2XLtd1AfppGm2xlkf4,Sơn Tùng M-TP,Nắng Ấm Xa Dần,Umusic Vietnam Co. Ltd. Distributed Labels,120,120,12,159108,2026-06-11,FALSE,-69,Pop
190,spotify:track:65st6HfPZyxq1RNTvqSIos,"Wren Evans, itsnk",Thu Đợi,Universal Music Indochina Distributed Labels,6,-1,23,159088,2026-06-11,TRUE,NaN,R&B/Soul
191,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2,182,72,159065,2026-06-11,FALSE,-9,Pop
192,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,4,-1,90,158823,2026-06-11,TRUE,NaN,Ballad
193,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,193,275,158630,2026-06-11,FALSE,0,Indie/Alternative
194,spotify:track:7dlgEjrK3lHbP786dshKDV,"ANH TRAI ""SAY HI"", B Ray, AMEE",CHỜ ANH VỀ,Universal Music Indochina Distributed Labels,2,157,27,158623,2026-06-11,FALSE,-37,Rap/Hip-hop
195,spotify:track:498g7npirihKT5MPdVSfb0,Hoàng Dũng,Phonecert,"CAM, LIRICO",137,200,24,158357,2026-06-11,FALSE,5,R&B/Soul
196,spotify:track:0sR5ThoE0uoskXWrm6KDxP,Kha,Hư không,MaiDao Music,22,154,126,157093,2026-06-11,FALSE,-42,Ballad
197,spotify:track:2eVsKrWqJhTAVItaTRashw,VƯƠNG BÌNH,Thanh Tân,Umusic Vietnam Co. Ltd. Distributed Labels,40,-1,9,156960,2026-06-11,TRUE,NaN,R&B/Soul
198,spotify:track:4DJZfZPvWYbSeFVFf2b2aS,MIN,"Đừng Yêu Nữa, Em Mệt Rồi",MIN,163,-1,5,156269,2026-06-11,TRUE,NaN,Ballad
199,spotify:track:53zusvCJkyGYjEZ6bnLIjh,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,185,65,156064,2026-06-11,FALSE,-14,Ballad
200,spotify:track:2OSjnBrQQ0CNKxIUM2GQDk,"JustaTee, Binz",Crying Over You,NGUYEN THANH TUAN,173,-1,3,156060,2026-06-11,TRUE,NaN,R&B/Soul
1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,153,1982414,2026-06-18,FALSE,0,Pop
2,spotify:track:68lbSrXDORS51pmyjZv712,BTS,SWIM,BIGHIT MUSIC,1,2,13,1856270,2026-06-18,FALSE,0,Pop
3,spotify:track:0a32EBPjqAe47cYDPE5Ia5,"Binz, SOOBIN",Em (feat. SOOBIN),SS LABEL,3,3,4,1130879,2026-06-18,FALSE,0,R&B/Soul
4,spotify:track:1ApIGNgp1azc0qB61x4GzG,"Hngle, Ari",Không Buông,Umusic Vietnam Co. Ltd. Distributed Labels,2,5,41,801770,2026-06-18,FALSE,1,Pop
5,spotify:track:7bFFUPBiF15n8m8RziqS4o,GREY D,dự báo thời tiết hôm nay mưa,Umusic Vietnam Co. Ltd. Distributed Labels,5,6,187,686958,2026-06-18,FALSE,1,R&B/Soul
6,spotify:track:73RcFjiDtStfP3GCW44vJu,"Minh Huy, Pinny",Ngày Rời Chuyến Bay,12 trái lê,6,7,11,665313,2026-06-18,FALSE,1,Ballad
7,spotify:track:7326q9PcJDcKuAFcrSkN0t,"Sơn Tùng M-TP, Tyga",Come My Way,M Music Records,2,4,3,658697,2026-06-18,FALSE,-3,EDM/Dance
8,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,9,136,657537,2026-06-18,FALSE,1,Pop
9,spotify:track:4nXrVH5xwN1w6TpmP7uu8n,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,4,11,140,645355,2026-06-18,FALSE,2,Rap/Hip-hop
10,spotify:track:6uvw8GFIqdqaJ4Nr3kN8Rs,BTS,Come Over,BIGHIT MUSIC,10,-1,1,639690,2026-06-18,TRUE,NaN,Pop
11,spotify:track:5xVCfx47vCXuLdpfbepqEo,HIEUTHUHAI,Người Im Lặng Gặp Người Hay Nói,M Music Records,2,8,15,631842,2026-06-18,FALSE,-3,Rap/Hip-hop
12,spotify:track:6Qwl74olNi1rl65FNxG5We,"marzuz, Changg",Và Thế Giới Đã Mất Đi Một Người Cô Đơn,Universal Music Indochina,7,12,30,624084,2026-06-18,FALSE,0,Ballad
13,spotify:track:7uUuftbcr94tzGOCJSM25u,"Low G, JustaTee",In Love,M Music Records,2,10,34,567064,2026-06-18,FALSE,-3,Rap/Hip-hop
14,spotify:track:2wZAvkgiOE5tyrnqhB69KA,Sơn Tùng M-TP,Âm Thầm Bên Em,Umusic Vietnam Co. Ltd. Distributed Labels,9,14,295,543145,2026-06-18,FALSE,0,Ballad
15,spotify:track:0JF65tQ1nQxBHFzs5IVn8o,GREY D,toidaidot,Umusic Vietnam Co. Ltd. Distributed Labels,15,29,2,529918,2026-06-18,FALSE,14,R&B/Soul
16,spotify:track:20jbSiX29FDX4oQxBXyUEi,Ariana Grande,hate that i made you love me,Republic Records,13,13,3,529378,2026-06-18,FALSE,-3,R&B/Soul
17,spotify:track:6mKMGpkgP2cH5gmqILWe7b,Fishy,vết thương,LOOPS Music,15,16,57,496123,2026-06-18,FALSE,-1,Ballad
18,spotify:track:2a5hng9yXtbjtTVVm9UviC,VCT,Mơ,Universal Music Indochina Distributed Labels,6,17,199,492914,2026-06-18,FALSE,-1,Pop
19,spotify:track:6Zoi4ue74UdUeYmHXItXnf,"B Ray, V#",Vùng An Toàn,MIXUS,3,18,50,481138,2026-06-18,FALSE,-1,Rap/Hip-hop
20,spotify:track:0NyrI1tMvqcK3vU5z9DMdI,JustaTee,She Neva Knows,NGUYEN THANH TUAN,10,15,20,463070,2026-06-18,FALSE,-5,R&B/Soul
21,spotify:track:5cn5oHiXJTLiuthgbgfkMh,VCT,Vết Mưa,Universal Music Indochina Distributed Labels,19,22,119,442817,2026-06-18,FALSE,1,Ballad
22,spotify:track:3T7XHOdRcyhKU3QCB6kZG3,"MIN, Dangrangto, antransax",chẳng phải tình đầu sao đau đến thế,WM Vietnam,2,21,34,436266,2026-06-18,FALSE,-1,Indie/Alternative
23,spotify:track:5rSAUmbOg4giDrM29vUyHe,Sơn Tùng M-TP,Nơi Này Có Anh,Umusic Vietnam Co. Ltd. Distributed Labels,5,20,367,429636,2026-06-18,FALSE,-3,Pop
24,spotify:track:4BdB08vuS9r4HOoY7GkAxT,SOOBIN,Nếu Ngày Ấy,SS LABEL,17,19,78,420889,2026-06-18,FALSE,-5,Ballad
25,spotify:track:1K0HQ30Wc11okzlcnFA7Ub,HIEUTHUHAI,Không Thể Say,M Music Records,7,27,165,413995,2026-06-18,FALSE,2,Rap/Hip-hop
26,spotify:track:2fCwv2ppU5nTRTckomIGsd,CORTIS,REDRED,Republic Records – CORTIS,5,26,9,405090,2026-06-18,FALSE,0,Pop
27,spotify:track:5KYv3kORBKUmVEoqbRRWxt,"Bảo Anh, Táo",Từng Là Của Nhau,Yin Yang Media,7,30,41,379815,2026-06-18,FALSE,3,Ballad
28,spotify:track:0fGJiHH6xSUJU1MAVjxq5m,"Karik, GDucky",Bạn Đời,WM Vietnam,5,38,142,377304,2026-06-18,FALSE,10,Rap/Hip-hop
29,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,35,216,375186,2026-06-18,FALSE,6,R&B/Soul
30,spotify:track:0eAuGrXyGFYwur9ARUe7LJ,Malcolm Todd,Earrings,Columbia,30,41,8,375100,2026-06-18,FALSE,11,R&B/Soul
31,spotify:track:6GM4ZOBDcDroldUxI8GZ2B,"VSTRA, Tyronee",Ai Ngoài Anh,CDSL,2,28,24,373758,2026-06-18,FALSE,-3,R&B/Soul
32,spotify:track:11T61UpoNbbcewOMl1kcWN,NHONHO,Dạo Bước HongKong 1999,NHONHO,5,25,12,367187,2026-06-18,FALSE,-7,Indie/Alternative
33,spotify:track:31VNCmwspR7nVJ6kruUuJt,Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,Umusic Vietnam Co. Ltd. Distributed Labels,1,23,106,365312,2026-06-18,FALSE,-10,Pop
34,spotify:track:42AOwjuMmIN1ioyyWB60Lw,GREY D,hoá ra…,Umusic Vietnam Co. Ltd. Distributed Labels,5,31,12,357318,2026-06-18,FALSE,-3,R&B/Soul
35,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,39,217,352245,2026-06-18,FALSE,4,Rap/Hip-hop
36,spotify:track:3x7Hh3zsE1wcXCU2G8l5tP,SOOBIN,DANCING IN THE DARK,SS LABEL,3,32,66,352172,2026-06-18,FALSE,-4,EDM/Dance
37,spotify:track:4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,40,237,346750,2026-06-18,FALSE,3,Ballad
38,spotify:track:1J3SmWwlYAG68LGKr86MVH,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Umusic Vietnam Co. Ltd. Distributed Labels,1,45,287,339736,2026-06-18,FALSE,7,Pop
39,spotify:track:3J3nv18iIrOhca1ZWNeuyW,JustaTee,Đã Lỡ Yêu Em Nhiều,NGUYEN THANH TUAN,24,47,176,331494,2026-06-18,FALSE,8,Ballad
40,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,24,68,331363,2026-06-18,FALSE,-16,R&B/Soul
41,spotify:track:27Z9T0mSWHYWSj9SNOGvyt,"JustaTee, Phương Ly",Thằng Điên,NGUYEN THANH TUAN,2,46,202,329276,2026-06-18,FALSE,5,R&B/Soul
42,spotify:track:3P3rcI48wwVEgxF5vPM6pG,Sơn Tùng M-TP,Buông Đôi Tay Nhau Ra,Umusic Vietnam Co. Ltd. Distributed Labels,7,34,153,327434,2026-06-18,FALSE,-8,Ballad
43,spotify:track:4gaxEUZE4z9pJAVTSFwgQI,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,14,55,116,325067,2026-06-18,FALSE,12,Indie/Alternative
44,spotify:track:2o4dDfLK6NVI7TjBm5VoMv,"Lou Hoàng, Miu Lê",Yêu Một Người Có Lẽ,Onlyc Entertainment,17,50,226,321161,2026-06-18,FALSE,6,Pop
45,spotify:track:41DlPJXKTCypXdf2eSqa03,"Vũ., Binz",bình yên,WM Vietnam,4,36,94,319667,2026-06-18,FALSE,-9,Rap/Hip-hop
46,spotify:track:5tdz7T4hTxA1ipJMBe24uX,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,44,191,316662,2026-06-18,FALSE,-2,Pop
47,spotify:track:0t8g66pWghsU8MphjUQIdg,"Phùng Khánh Linh, 30 Pictures",Cảm Ơn Người Đã Thức Cùng Tôi,+84 Vietnam New Wave,5,43,17,315260,2026-06-18,FALSE,-4,Ballad
48,spotify:track:6nInHlewtrNKguNKlXt0Ur,"Shartnuss, Phankeo, Tr.D",Nắng có mang em về,MaiDao Music,4,54,123,310960,2026-06-18,FALSE,6,Indie/Alternative
49,spotify:track:6VXVYATpQXEIoZ97NnWCmn,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,42,202,310259,2026-06-18,FALSE,-7,Ballad
50,spotify:track:0pavLg3wbL6PVXAgXoWv4S,"24k.Right, Ngắn, Hipz",Một Nửa Sự Thật,Universal Music Indochina,50,67,11,308997,2026-06-18,FALSE,17,R&B/Soul
51,spotify:track:58ZlEBxBrzISXtmcOPo476,SOOBIN,giá như,SS LABEL,13,49,114,307676,2026-06-18,FALSE,-2,Ballad
52,spotify:track:4nyoalDFgUaZOzIKqj3aS5,"Đặng Vĩnh Thịnh, BMZ, Nguyễn Trung Đức",Ngàn Năm Ánh Sáng,BMZ JSC,5,59,45,299941,2026-06-18,FALSE,7,Ballad
53,spotify:track:3Ids3RXurYBgySph53qWnB,buitruonglinh,Từng Ngày Yêu Em,LOOPS Music,9,52,76,297402,2026-06-18,FALSE,-1,Indie/Alternative
54,spotify:track:3vSmjbKFByNM6l31NmFlmB,"GREY D, MIN",đôi mắt kẻ tình si,Umusic Vietnam Co. Ltd. Distributed Labels,12,56,12,297071,2026-06-18,FALSE,2,R&B/Soul
55,spotify:track:1UhQ0VwKq2PGnLiAZOJYV1,Binz,Em,SS LABEL,4,33,30,294570,2026-06-18,FALSE,-22,R&B/Soul
56,spotify:track:6UO9nrihAk6sFGvVHDVTz8,"马也_Crabbit, Cole先生",海屿你,网易飓风,56,86,3,291565,2026-06-18,FALSE,30,Pop
57,spotify:track:6n2xOcqQrNOY0IfgATSwWs,"Puppy, Dangrangto",Wrong Times,MaiDao Music,3,58,137,288643,2026-06-18,FALSE,1,Indie/Alternative
58,spotify:track:39KWnPNEvbXt423CzjvBfA,SOOBIN,Anh Đã Quen Với Cô Đơn,WM Vietnam,40,65,83,285979,2026-06-18,FALSE,7,Ballad
59,spotify:track:0e6fZkLArSmDIHnZcIua7t,"Vũ., Low G",Không Yêu Em Thì Yêu Ai?,WM Vietnam,19,62,90,285958,2026-06-18,FALSE,3,Indie/Alternative
60,spotify:track:3VkV6L37ub0rtuYQoawAqz,Lil Zpoet,Tình Mình Lạ Kì,LiL Z Poet,45,74,20,282493,2026-06-18,FALSE,14,Ballad
61,spotify:track:1xoadYaxtOp9gHDwgmPDuz,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,Universal Music Indochina,3,81,264,282066,2026-06-18,FALSE,20,Ballad
62,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,W/N,id 072019,Universal Music Indochina Distributed Labels,3,84,151,281558,2026-06-18,FALSE,22,Pop
63,spotify:track:4CVxKSRLUxqUuj2z9vn4fS,SOOBIN,Xin Đừng Lặng Im,"HONG AN ENTERTAIMENT,.JSC",37,71,56,278457,2026-06-18,FALSE,8,Ballad
64,spotify:track:4qJSUFwZFouto5VZUlln75,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,80,300,278323,2026-06-18,FALSE,16,R&B/Soul
65,spotify:track:5BTzf3doGTigDIYUFtbkI9,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,63,286,275243,2026-06-18,FALSE,-2,Ballad
66,spotify:track:25h0TqC9H3BcMA7KjK5nHK,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,Umusic Vietnam Co. Ltd. Distributed Labels,2,60,209,275085,2026-06-18,FALSE,-6,R&B/Soul
67,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,Da LAB,Thức Giấc,Yin Yang Media,1,53,258,272683,2026-06-18,FALSE,-14,Pop
68,spotify:track:4MCP9l0QB9YN2LCkIy8mz4,Obito,Dạo Này,12 trái lê,8,57,25,271920,2026-06-18,FALSE,-11,Rap/Hip-hop
69,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,76,141,269549,2026-06-18,FALSE,7,Pop
70,spotify:track:3dbfL7nHOZlM4adzLHNnB3,"Juky San, buitruonglinh",Người Đầu Tiên,DAO Entertainment,2,64,33,266366,2026-06-18,FALSE,-6,Ballad
71,spotify:track:5ouxRyInSdRBQubu3KTd97,"tlinh, 2Pillz",nếu lúc đó,M Music Records,1,83,172,265545,2026-06-18,FALSE,12,R&B/Soul
72,spotify:track:66v7AvDs5gZfmkJgFMMtHL,"Công Dương, Nguyễn Lâm Thảo Tâm, 30 Pictures",A Little Dream Of Me,+84 Vietnam New Wave,22,69,15,263947,2026-06-18,FALSE,-3,Khác
73,spotify:track:3bmpXHVie1GTy37OkXJ7Vc,BTS,2.0,BIGHIT MUSIC,11,150,13,257792,2026-06-18,FALSE,77,Rap/Hip-hop
74,spotify:track:2pm7K14nHj2fLrpU8j9bit,PC,10 Ngàn Năm,12 trái lê,27,73,210,257592,2026-06-18,FALSE,-1,Rap/Hip-hop
75,spotify:track:1DVYafsLmcQySKkJnY4RCs,"MAYDAYs, Minh Tốc & Lam",Phép Màu - Đàn Cá Gỗ Original Soundtrack,Universal Music Indochina Distributed Labels,2,68,68,257315,2026-06-18,FALSE,-7,Khác
76,spotify:track:5u5AsK8JLgkr154QHZjJqh,"ANH TRAI ""SAY HI"", VCT, Karik, Negav, Ngô Kiến Huy, Jey B",NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,Universal Music Indochina Distributed Labels,3,85,38,256243,2026-06-18,FALSE,9,Rap/Hip-hop
77,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,"Justin Bieber, Nicki Minaj",Beauty And A Beat,RBMG/Def Jam,9,61,10,253517,2026-06-18,FALSE,-16,EDM/Dance
78,spotify:track:36fgG6NiEuQXznNgf5y2Ck,"T.R.I, Dangrangto, DONAL",một bài hát không vui mấy - Extended Version,Umusic Vietnam Co. Ltd. Distributed Labels,26,66,76,251432,2026-06-18,FALSE,-12,Ballad
79,spotify:track:7mblTCdc14ylJ1JW71MODb,buitruonglinh,Giờ Thì,LOOPS Music,11,75,79,248924,2026-06-18,FALSE,-4,Indie/Alternative
80,spotify:track:5x5Vx0Musv3LSUKzjY73mA,"Sơn Tùng M-TP, Snoop Dogg",Hãy Trao Cho Anh,Umusic Vietnam Co. Ltd. Distributed Labels,1,37,152,247473,2026-06-18,FALSE,-43,EDM/Dance
