rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
121,spotify:track:2uxjHthUJd2A8PmWaUGGsI,"Hoàng Dũng, Hoàng Rob",Chờ Anh Nhé,Lirico Entertainment,99,103,43,221408,2026-04-09,FALSE,-18,Indie/Alternative
122,spotify:track:5C3fx9rdM4Bxf1MSOQC4Ym,"Low G, Thắng",An Thần,M Music Records,2,156,233,221212,2026-04-09,FALSE,34,Rap/Hip-hop
123,spotify:track:3COYA2vgfcUhDyRlVpZy5p,"tlinh, Low G",PHÓNG ZÌN ZÌN,M Music Records,4,123,81,221097,2026-04-09,FALSE,0,Rap/Hip-hop
124,spotify:track:4B4Q7zfd0aHcuhQBfCRnH5,BTS,NORMAL,BIGHIT MUSIC,14,69,3,218903,2026-04-09,FALSE,-55,Pop
125,spotify:track:65st6HfPZyxq1RNTvqSIos,"Wren Evans, itsnk",Thu Đợi,Universal Music Indochina Distributed Labels,6,135,15,218164,2026-04-09,FALSE,10,R&B/Soul
126,spotify:track:4TyQKEifYDWTfTSRwpxlYI,Quân A.P,Bông Hoa Đẹp Nhất,Great Entertainment,32,133,119,217445,2026-04-09,FALSE,7,Ballad
127,spotify:track:0b61A7v9agI08BG21jJPQ9,BTS,they don’t know ’bout us,BIGHIT MUSIC,16,72,3,217411,2026-04-09,FALSE,-55,Pop
128,spotify:track:54PbBpquVfhfrwRwvjSXbI,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Artist Partner,71,142,280,216004,2026-04-09,FALSE,14,R&B/Soul
129,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,129,266,215096,2026-04-09,FALSE,0,Indie/Alternative
130,spotify:track:1J3SmWwlYAG68LGKr86MVH,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Umusic Vietnam Co. Ltd. Distributed Labels,1,148,277,213890,2026-04-09,FALSE,18,Pop
131,spotify:track:3H6nzsPNMttEvUl3ai3xN8,Chillies,Vùng Ký Ức,WM Vietnam,1,131,123,213674,2026-04-09,FALSE,0,Indie/Alternative
132,spotify:track:7Cjsw965r7mVK888ZqP6Wo,Negav,Mình Anh Thôi,MIXUS,18,187,55,212803,2026-04-09,FALSE,55,Rap/Hip-hop
133,spotify:track:1GJ3suxtUVaguVQRemw6Zp,Andiez,Suýt Nữa Thì...,MaiDao Music,74,139,161,211980,2026-04-09,FALSE,6,Ballad
134,spotify:track:0oL2jCTf9P9a7flY5mCpYu,"Wxrdie, JustaTee",Trở Về,Universal Music Indochina Distributed Labels,54,130,58,207666,2026-04-09,FALSE,-4,Rap/Hip-hop
135,spotify:track:5tg21NdePCn5m8F9BXOEeJ,BTS,Aliens,BIGHIT MUSIC,13,81,3,207474,2026-04-09,FALSE,-54,Pop
136,spotify:track:2IFND3phjzIG1RcPnHh2hP,BTS,Like Animals,BIGHIT MUSIC,18,79,3,204339,2026-04-09,FALSE,-57,Pop
137,spotify:track:3b34161QoxLwsqhWSPy9i5,Da LAB,Thanh Xuân,Sony Music Entertainment,1,154,395,204135,2026-04-09,FALSE,17,Indie/Alternative
138,spotify:track:7HoAJ6Hc1P91eoOrn1WY5d,"Đức Trường, BMZ, Kun",Đáng Lý Ra Phải Là Anh,BMZ,90,134,17,204003,2026-04-09,FALSE,-4,Ballad
139,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,167,142,203483,2026-04-09,FALSE,28,EDM/Dance
140,spotify:track:33S16Xa5cZmLPhn6eZI4Nm,"52Hz, RIO, WEAN",ĐỢI (feat. WEAN) - SPECIAL VERSION,DAO Entertainment,58,166,89,203329,2026-04-09,FALSE,26,R&B/Soul
141,spotify:track:43zzuEWDotRcKlSFzrlJqs,Đạt G,Thêm Bao Nhiêu Lâu,12 trái lê,106,153,48,203209,2026-04-09,FALSE,12,Ballad
142,spotify:track:0669gFIK8dYK9GGQ0K0QNF,Dương Domic,Tràn Bộ Nhớ,DAO Entertainment,7,109,72,201486,2026-04-09,FALSE,-33,R&B/Soul
